word_id	ref	surface	lemma	morph
06xeN	Josh.1.1	וַ/יְהִ֗י	c/1961	HC/Vqw3ms
06Nvk	Josh.1.1	אַחֲרֵ֛י	310 a	HR
06TyA	Josh.1.1	מ֥וֹת	4194	HNcmsc
06vuQ	Josh.1.1	מֹשֶׁ֖ה	4872	HNp
06TSc	Josh.1.1	עֶ֣בֶד	5650	HNcmsc
06k5P	Josh.1.1	יְהוָ֑ה	3068	HNp
06nPh	Josh.1.1	וַ/יֹּ֤אמֶר	c/559	HC/Vqw3ms
06LN3	Josh.1.1	יְהוָה֙	3068	HNp
06Qzf	Josh.1.1	אֶל	413	HR
06aPd	Josh.1.1	יְהוֹשֻׁ֣עַ	3091	HNp
06eYX	Josh.1.1	בִּן	1121 a	HNcmsc
06C5U	Josh.1.1	נ֔וּן	5126	HNp
06qNN	Josh.1.1	מְשָׁרֵ֥ת	8334	HVprmsc
06EVS	Josh.1.1	מֹשֶׁ֖ה	4872	HNp
06PB6	Josh.1.1	לֵ/אמֹֽר	l/559	HR/Vqc
0637c	Josh.1.2	מֹשֶׁ֥ה	4872	HNp
06x9c	Josh.1.2	עַבְדִּ֖/י	5650	HNcmsc/Sp1cs
06yNB	Josh.1.2	מֵ֑ת	4191	HVqp3ms
0629t	Josh.1.2	וְ/עַתָּה֩	c/6258	HC/D
06KZG	Josh.1.2	ק֨וּם	6965 b	HVqv2ms
06TZE	Josh.1.2	עֲבֹ֜ר	5674 a	HVqv2ms
06thY	Josh.1.2	אֶת	853	HTo
06JM7	Josh.1.2	הַ/יַּרְדֵּ֣ן	d/3383	HTd/Np
06fpo	Josh.1.2	הַ/זֶּ֗ה	d/2088	HTd/Pdxms
06W26	Josh.1.2	אַתָּה֙	859 a	HPp2ms
06yw4	Josh.1.2	וְ/כָל	c/3605	HC/Ncmsc
06jbg	Josh.1.2	הָ/עָ֣ם	d/5971 a	HTd/Ncmsa
06USR	Josh.1.2	הַ/זֶּ֔ה	d/2088	HTd/Pdxms
06v6U	Josh.1.2	אֶל	413	HR
065SS	Josh.1.2	הָ/אָ֕רֶץ	d/776	HTd/Ncbsa
06GzE	Josh.1.2	אֲשֶׁ֧ר	834 a	HTr
06qCU	Josh.1.2	אָנֹכִ֛י	595	HPp1cs
06g2y	Josh.1.2	נֹתֵ֥ן	5414	HVqrmsa
06jQb	Josh.1.2	לָ/הֶ֖ם	l	HR/Sp3mp
06794	Josh.1.2	לִ/בְנֵ֥י	l/1121 a	HR/Ncmpc
06CsU	Josh.1.2	יִשְׂרָאֵֽל	3478	HNp
06XR4	Josh.1.3	כָּל	3605	HNcmsc
06KvS	Josh.1.3	מָק֗וֹם	4725	HNcmsa
06dBc	Josh.1.3	אֲשֶׁ֨ר	834 a	HTr
06nAB	Josh.1.3	תִּדְרֹ֧ךְ	1869	HVqi3fs
06kfX	Josh.1.3	כַּֽף	3709	HNcfsc
06Wkf	Josh.1.3	רַגְלְ/כֶ֛ם	7272	HNcfsc/Sp2mp
06wrL	Josh.1.3	בּ֖/וֹ	b	HR/Sp3ms
063TL	Josh.1.3	לָ/כֶ֣ם	l	HR/Sp2mp
06LeN	Josh.1.3	נְתַתִּ֑י/ו	5414	HVqp1cs/Sp3ms
06sMn	Josh.1.3	כַּ/אֲשֶׁ֥ר	k/834 d	HR/Tr
06Y3z	Josh.1.3	דִּבַּ֖רְתִּי	1696	HVpp1cs
06NQN	Josh.1.3	אֶל	413	HR
06uLf	Josh.1.3	מֹשֶֽׁה	4872	HNp
06kA7	Josh.1.4	מֵ/הַ/מִּדְבָּר֩	m/d/4057 b	HR/Td/Ncmsa
063TS	Josh.1.4	וְ/הַ/לְּבָנ֨וֹן	c/d/3844	HC/Td/Np
06NFp	Josh.1.4	הַ/זֶּ֜ה	d/2088	HTd/Pdxms
067am	Josh.1.4	וְֽ/עַד	c/5704	HC/R
06hh7	Josh.1.4	הַ/נָּהָ֧ר	d/5104	HTd/Ncmsa
06BsK	Josh.1.4	הַ/גָּד֣וֹל	d/1419 a	HTd/Aamsa
06fsu	Josh.1.4	נְהַר	5104	HNcmsc
068M6	Josh.1.4	פְּרָ֗ת	6578	HNp
06wM5	Josh.1.4	כֹּ֚ל	3605	HNcmsc
06qty	Josh.1.4	אֶ֣רֶץ	776	HNcbsc
065gQ	Josh.1.4	הַֽ/חִתִּ֔ים	d/2850	HTd/Ngmpa
06Xw6	Josh.1.4	וְ/עַד	c/5704	HC/R
06eHJ	Josh.1.4	הַ/יָּ֥ם	d/3220	HTd/Ncmsa
06H6L	Josh.1.4	הַ/גָּד֖וֹל	d/1419 a	HTd/Aamsa
06bmv	Josh.1.4	מְב֣וֹא	3996	HNcmsc
06FV9	Josh.1.4	הַ/שָּׁ֑מֶשׁ	d/8121	HTd/Ncbsa
06Xm1	Josh.1.4	יִֽהְיֶ֖ה	1961	HVqi3ms
06UE6	Josh.1.4	גְּבוּלְ/כֶֽם	1366	HNcmsc/Sp2mp
06goK	Josh.1.5	לֹֽא	3808	HTn
06CyH	Josh.1.5	יִתְיַצֵּ֥ב	3320	HVti3ms
06A4a	Josh.1.5	אִישׁ֙	376	HNcmsa
065Pr	Josh.1.5	לְ/פָנֶ֔י/ךָ	l/6440	HR/Ncbpc/Sp2ms
06L4k	Josh.1.5	כֹּ֖ל	3605	HNcmsc
06Mnv	Josh.1.5	יְמֵ֣י	3117	HNcmpc
06mwU	Josh.1.5	חַיֶּ֑י/ךָ	2416 e	HNcmpc/Sp2ms
06tKT	Josh.1.5	כַּֽ/אֲשֶׁ֨ר	k/834 d	HR/Tr
06NRT	Josh.1.5	הָיִ֤יתִי	1961	HVqp1cs
06sRU	Josh.1.5	עִם	5973 a	HR
06Wxq	Josh.1.5	מֹשֶׁה֙	4872	HNp
069qY	Josh.1.5	אֶהְיֶ֣ה	1961	HVqi1cs
06n5f	Josh.1.5	עִמָּ֔/ךְ	5973 a	HR/Sp2fs
06YUq	Josh.1.5	לֹ֥א	3808	HTn
06fQr	Josh.1.5	אַרְפְּ/ךָ֖	7503	HVhi1cs/Sp2ms
06L7t	Josh.1.5	וְ/לֹ֥א	c/3808	HC/Tn
06A74	Josh.1.5	אֶעֶזְבֶֽ/ךָּ	5800 a	HVqi1cs/Sp2ms
06dNE	Josh.1.6	חֲזַ֖ק	2388	HVqv2ms
06xdF	Josh.1.6	וֶ/אֱמָ֑ץ	c/553	HC/Vqv2ms
06AYg	Josh.1.6	כִּ֣י	3588 a	HC
06Ls9	Josh.1.6	אַתָּ֗ה	859 a	HPp2ms
06Snp	Josh.1.6	תַּנְחִיל֙	5157	HVhi2ms
0687B	Josh.1.6	אֶת	853	HTo
06nLp	Josh.1.6	הָ/עָ֣ם	d/5971 a	HTd/Ncmsa
06PzC	Josh.1.6	הַ/זֶּ֔ה	d/2088	HTd/Pdxms
06NPq	Josh.1.6	אֶת	853	HTo
06d5m	Josh.1.6	הָ/אָ֕רֶץ	d/776	HTd/Ncbsa
06BYa	Josh.1.6	אֲשֶׁר	834 a	HTr
06LJh	Josh.1.6	נִשְׁבַּ֥עְתִּי	7650	HVNp1cs
06tRR	Josh.1.6	לַ/אֲבוֹתָ֖/ם	l/1	HR/Ncmpc/Sp3mp
